algorithm,time,n
bubble_sort, 1.956e-06, 10
selection_sort, 2.375e-06, 10
insertion_sort, 2.444e-06, 10
shell_sort, 1.956e-06, 10
quick_sort, 1.886e-06, 10
merge_sort, 2.374e-06, 10
bubble_sort, 2.445e-06, 10
selection_sort, 1.886e-06, 10
insertion_sort, 1.816e-06, 10
shell_sort, 2.375e-06, 10
quick_sort, 1.956e-06, 10
merge_sort, 2.374e-06, 10
bubble_sort, 1.956e-06, 10
selection_sort, 2.375e-06, 10
insertion_sort, 1.467e-06, 10
shell_sort, 1.886e-06, 10
quick_sort, 1.886e-06, 10
merge_sort, 2.305e-06, 10
bubble_sort, 3.911e-06, 20
selection_sort, 3.283e-06, 20
insertion_sort, 2.375e-06, 20
shell_sort, 2.864e-06, 20
quick_sort, 2.933e-06, 20
merge_sort, 3.283e-06, 20
bubble_sort, 3.772e-06, 20
selection_sort, 3.353e-06, 20
insertion_sort, 2.375e-06, 20
shell_sort, 2.794e-06, 20
quick_sort, 2.864e-06, 20
merge_sort, 3.282e-06, 20
bubble_sort, 3.772e-06, 20
selection_sort, 3.283e-06, 20
insertion_sort, 2.374e-06, 20
shell_sort, 3.353e-06, 20
quick_sort, 2.933e-06, 20
merge_sort, 3.283e-06, 20
bubble_sort, 7.194e-06, 30
selection_sort, 4.819e-06, 30
insertion_sort, 3.353e-06, 30
shell_sort, 3.283e-06, 30
quick_sort, 3.423e-06, 30
merge_sort, 4.749e-06, 30
bubble_sort, 6.636e-06, 30
selection_sort, 5.309e-06, 30
insertion_sort, 3.772e-06, 30
shell_sort, 3.772e-06, 30
quick_sort, 3.422e-06, 30
merge_sort, 4.75e-06, 30
bubble_sort, 6.705e-06, 30
selection_sort, 4.819e-06, 30
insertion_sort, 3.283e-06, 30
shell_sort, 3.772e-06, 30
quick_sort, 3.353e-06, 30
merge_sort, 4.749e-06, 30
bubble_sort, 1.0827e-05, 40
selection_sort, 7.194e-06, 40
insertion_sort, 5.169e-06, 40
shell_sort, 4.68e-06, 40
quick_sort, 4.331e-06, 40
merge_sort, 6.287e-06, 40
bubble_sort, 1.0477e-05, 40
selection_sort, 7.124e-06, 40
insertion_sort, 4.68e-06, 40
shell_sort, 5.797e-06, 40
quick_sort, 4.75e-06, 40
merge_sort, 6.147e-06, 40
bubble_sort, 1.0128e-05, 40
selection_sort, 6.705e-06, 40
insertion_sort, 4.331e-06, 40
shell_sort, 5.239e-06, 40
quick_sort, 4.331e-06, 40
merge_sort, 5.728e-06, 40
bubble_sort, 1.7043e-05, 50
selection_sort, 9.639e-06, 50
insertion_sort, 7.055e-06, 50
shell_sort, 6.217e-06, 50
quick_sort, 5.169e-06, 50
merge_sort, 7.544e-06, 50
bubble_sort, 1.6345e-05, 50
selection_sort, 9.5e-06, 50
insertion_sort, 6.287e-06, 50
shell_sort, 6.566e-06, 50
quick_sort, 4.82e-06, 50
merge_sort, 7.614e-06, 50
bubble_sort, 1.6275e-05, 50
